symbol,stock_name,industry,sub_industry,benchmark
BERGEPAINT,Berger Paints (I) Limited,CONSUMER GOODS,PAINTS & VARNISHES,NIFTY CONSUMPTION
BFINVEST,BF Investment Limited,,,
BFUTILITIE,BF Utilities Limited,CONSTRUCTION,POWER - GENERATION & DISTRIBUTION,NIFTY INFRA
BGLOBAL,Bharatiya Global Infomedia Limited,,,
BGRENERGY,BGR Energy Systems Limited,CONSTRUCTION,,NIFTY INFRA
BHAGERIA,Bhageria Industries Limited,,,
BHAGYANGR,Bhagyanagar India Limited,,,
BHAGYAPROP,Bhagyanagar Properties Limited,,,
BHANDARI,Bhandari Hosiery Exports Limited,,,
BHARATFIN,Bharat Financial Inclusion Limited,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
BHARATFORG,Bharat Forge Limited,INDUSTRIAL MANUFACTURING,CASTINGS & FORGINGS,
BHARATGEAR,Bharat Gears Limited,,,
BHARATIDIL,Bharati Defence and Infrastructure Limited,CONSTRUCTION,,NIFTY INFRA
BHARATRAS,Bharat Rasayan Limited,,,
BHARATWIRE,Bharat Wire Ropes Limited,,,
BHARTIARTL,Bharti Airtel Limited,TELECOM,TELECOMMUNICATIONS - SERVICE,
BHEL,Bharat Heavy Electricals Limited,INDUSTRIAL MANUFACTURING,INFRASTRUCTURE - GENERAL,
BHUSANSTL,Bhushan Steel Limited,METALS,,NIFTY METAL
BIGBLOC,Bigbloc Construction Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
BIL,Bhartiya International Limited,,,
BILENERGY,Bil Energy Systems Limited,,,
BILPOWER,Bilpower  Limited,,,
BINANIIND,Binani Industries Limited,,,
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,FERTILISERS & PESTICIDES,FERTILISERS,
BIOCON,Biocon Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
BIRLACABLE,Birla Cable Limited,,,
BIRLACORPN,Birla Corporation Limited,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
BIRLAMONEY,Aditya Birla Money Limited,,,
BKMINDST,,,,
BLBLIMITED,BLB Limited,,,
BLISSGVS,Bliss GVS Pharma Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
BLKASHYAP,B. L. Kashyap and Sons Limited,,,
BLS,BLS International Services Limited,,,
BLUEBLENDS,Blue Blends (I) Limited,,,
BLUECOAST,Blue Coast Hotels Limited,SERVICES,HOTELS,
BLUEDART,Blue Dart Express Limited,SERVICES,COURIERS,
BLUESTARCO,Blue Star Limited,CONSUMER GOODS,CONSUMER GOODS - WHITE GOODS,NIFTY CONSUMPTION
BODALCHEM,Bodal Chemicals Limited,CHEMICALS,CHEMICALS,
BOHRA,,,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,TEXTILES,TEXTILES - PROCESSING,
BOROSIL,,,,
BOSCHLTD,Bosch Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
BPCL,Bharat Petroleum Corporation Limited,ENERGY,REFINERIES,NIFTY ENERGY
BPL,BPL Limited,,,
BRFL,Bombay Rayon Fashions Limited,TEXTILES,TEXTILES - SYNTHETIC & SILK,
BRIGADE,Brigade Enterprises Limited,CONSTRUCTION,,NIFTY INFRA
BRIGHT,,,,
BRITANNIA,Britannia Industries Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
BRNL,Bharat Road Network Limited,,,
BROOKS,Brooks Laboratories Limited,,,
BSE,BSE Limited,FINANCIAL SERVICES,,NIFTY BANK
BSELINFRA,BSEL Infrastructure Realty Limited,CONSTRUCTION,,NIFTY INFRA
BSHSL,,,,
BSL,BSL Limited,,,
BSLGOLDETF,,,,
BURNPUR,Burnpur Cement Limited,,,
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,,,
BVCL,Barak Valley Cements Limited,,,
BYKE,The Byke Hospitality Ltd,,,
CADILAHC,Cadila Healthcare Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
CALSOFT,California Software Company Limited,IT,,NIFTY IT
CAMLINFINE,Camlin Fine Sciences Limited,,,
CANBK,Canara Bank,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
CANDC,C & C Constructions Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
CANFINHOME,Can Fin Homes Limited,FINANCIAL SERVICES,FINANCE - HOUSING,NIFTY BANK
CANTABIL,Cantabil Retail India Limited,CONSUMER GOODS,RETAIL,NIFTY FMCG
CAPACITE,Capacit'e Infraprojects Limited,CONSTRUCTION,,NIFTY INFRA
CAPF,Capital First Limited,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
CAPLIPOINT,Caplin Point Laboratories Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
CAPTRUST,Capital Trust Limited,,,
CARBORUNIV,Carborundum Universal Limited,INDUSTRIAL MANUFACTURING,ABRASIVES,
CAREERP,Career Point Limited,,,
CARERATING,CARE Ratings Limited,FINANCIAL SERVICES,MISCELLANEOUS,NIFTY BANK
CASTEXTECH,Castex Technologies Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
CASTROLIND,Castrol India Limited,ENERGY,LUBRICANTS,NIFTY ENERGY
CCCL,Consolidated Construction Consortium Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
CCHHL,Country Club Hospitality & Holidays Limited,,,
CCL,CCL Products (India) Limited,CONSUMER GOODS,PLANTATIONS - TEA & COFFEE,NIFTY CONSUMPTION
CDSL,Central Depository Services (India) Limited,FINANCIAL SERVICES,,NIFTY BANK
CEATLTD,CEAT Limited,AUTOMOBILE,TYRES,NIFTY AUTO
CEBBCO,Commercial Engineers & Body Builders Co Limited,INDUSTRIAL MANUFACTURING,,
CELEBRITY,Celebrity Fashions Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
CELESTIAL,Celestial Biolabs Limited,,,
CENTENKA,Century Enka Limited,,,
CENTEXT,Century Extrusions Limited,,,
CENTRALBK,Central Bank of India,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
CENTRUM,,,,
CENTUM,Centum Electronics Limited,,,
CENTURYPLY,Century Plyboards (India) Limited,CONSUMER GOODS,MISCELLANEOUS,NIFTY CONSUMPTION
CENTURYTEX,Century Textiles & Industries Limited,CEMENT & CEMENT PRODUCTS,DIVERSIFIED,
CERA,Cera Sanitaryware Limited,CONSTRUCTION,CERAMICS & GRANITE,NIFTY CONSUMPTION
CEREBRAINT,Cerebra Integrated Technologies Limited,IT,COMPUTERS - HARDWARE,NIFTY IT
CES1RPG,,,,
CESC,CESC Limited,ENERGY,POWER - GENERATION & DISTRIBUTION,NIFTY ENERGY
CGCL,Capri Global Capital Limited,,,
CGPOWER,CG Power and Industrial Solutions Limited,INDUSTRIAL MANUFACTURING,ELECTRIC EQUIPMENT,
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,FERTILISERS & PESTICIDES,FERTILISERS,
CHEMFAB,,,,
CHENNPETRO,Chennai Petroleum Corporation Limited,ENERGY,REFINERIES,NIFTY ENERGY
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
CHROMATIC,Chromatic India Limited,,,
CIGNITITEC,Cigniti Technologies Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
CIMMCO,Cimmco Limited,,,
CINELINE,Cineline India Limited,,,
CINEVISTA,Cinevista Limited,,,
