symbol,isin,stock_name,issuer_name,face_value,country,industry,outstanding_shares,
GENUSPOWER,INE955D01029,Genus Power Infrastructures Limited,Genus Power Infrastructures Limited,1,INDIA,INDUSTRIAL MANUFACTURING,ELECTRIC EQUIPMENT,
GEOJITFSL,INE007B01023,Geojit Financial Services Limited,Geojit Financial Services Limited,1,INDIA,,#N/A,
GEPIL,INE878A01011,GE Power India Limited,GE Power India Limited,10,INDIA,INDUSTRIAL MANUFACTURING,POWER - TRANSMISSION & EQUIPMENT,
GESHIP,INE017A01032,The Great Eastern Shipping Company Limited,The Great Eastern Shipping Company Limited,10,INDIA,SERVICES,SHIPPING,
GET&D,INE200A01026,GE T&D India Limited,GE T&D India Limited,2,INDIA,INDUSTRIAL MANUFACTURING,#N/A,
GHCL,INE539A01019,GHCL Limited,GHCL Limited,10,INDIA,CHEMICALS,CHEMICALS,
GICHSGFIN,INE289B01019,GIC Housing Finance Limited,GIC Housing Finance Limited,10,INDIA,FINANCIAL SERVICES,FINANCE - HOUSING,FINANCIAL SERVICES
GICRE,INE481Y01014,General Insurance Corporation of India,General Insurance Corporation of India,,INDIA,FINANCIAL SERVICES,FINANCE - GENERAL,
GILLANDERS,INE047B01011,Gillanders Arbuthnot & Company Limited,Gillanders Arbuthnot & Company Limited,10,INDIA,,#N/A,
GILLETTE,INE322A01010,Gillette India Limited,Gillette India Limited,10,INDIA,CONSUMER GOODS,PERSONAL CARE,
GINNIFILA,INE424C01010,Ginni Filaments Limited,Ginni Filaments Limited,10,INDIA,,#N/A,
GIPCL,INE162A01010,Gujarat Industries Power Company Limited,Gujarat Industries Power Company Limited,10,INDIA,,#N/A,
GIRIRAJ,INE614Z01017,,,,INDIA,,#N/A,
GIRRESORTS,INE316N01015,,,,INDIA,,#N/A,
GITANJALI,INE346H01014,Gitanjali Gems Limited,Gitanjali Gems Limited,10,INDIA,,#N/A,
GKWLIMITED,INE528A01020,GKW Limited,GKW Limited,10,INDIA,,#N/A,
GLAXO,INE159A01016,GlaxoSmithKline Pharmaceuticals Limited,GlaxoSmithKline Pharmaceuticals Limited,10,INDIA,PHARMA,PHARMACEUTICALS,
GLENMARK,INE935A01035,Glenmark Pharmaceuticals Limited,Glenmark Pharmaceuticals Limited,1,INDIA,PHARMA,PHARMACEUTICALS,
GLOBALVECT,INE792H01019,Global Vectra Helicorp Limited,Global Vectra Helicorp Limited,10,INDIA,,#N/A,
GLOBOFFS,INE446C01013,Global Offshore Services Limited,Global Offshore Services Limited,10,INDIA,,#N/A,
GLOBUSSPR,INE615I01010,Globus Spirits Limited,Globus Spirits Limited,10,INDIA,,#N/A,
GMBREW,INE075D01018,GM Breweries Limited,GM Breweries Limited,10,INDIA,,#N/A,
GMDCLTD,INE131A01031,Gujarat Mineral Development Corporation Limited,Gujarat Mineral Development Corporation Limited,2,INDIA,METALS,MINING & MINERALS,
GMMPFAUDLR,INE541A01023,,,,INDIA,,#N/A,
GMRINFRA,INE776C01039,GMR Infrastructure Limited,GMR Infrastructure Limited,1,INDIA,CONSTRUCTION,INFRASTRUCTURE - GENERAL,
GNA,INE934S01014,GNA Axles Limited,GNA Axles Limited,10,INDIA,,#N/A,
GNFC,INE113A01013,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Gujarat Narmada Valley Fertilizers and Chemicals Limited,10,INDIA,CHEMICALS,FERTILISERS,
GOACARBON,INE426D01013,Goa Carbon Limited,Goa Carbon Limited,10,INDIA,,#N/A,
GOCLCORP,INE077F01035,GOCL Corporation Limited,GOCL Corporation Limited,2,INDIA,,#N/A,
GODFRYPHLP,INE260B01028,Godfrey Phillips India Limited,Godfrey Phillips India Limited,2,INDIA,CONSUMER GOODS,CIGARETTES,
GODREJAGRO,INE850D01014,Godrej Agrovet Ltd.,Godrej Agrovet Ltd.,,INDIA,CONSUMER GOODS,#N/A,
GODREJCP,INE102D01028,Godrej Consumer Products Limited,Godrej Consumer Products Limited,1,INDIA,CONSUMER GOODS,PERSONAL CARE,
GODREJIND,INE233A01035,Godrej Industries Limited,Godrej Industries Limited,1,INDIA,CONSUMER GOODS,PERSONAL CARE,
GODREJPROP,INE484J01027,Godrej Properties Limited,Godrej Properties Limited,5,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,
GOENKA,INE516K01024,Goenka Diamond and Jewels Limited,Goenka Diamond and Jewels Limited,1,INDIA,,#N/A,
GOKEX,INE887G01027,Gokaldas Exports Limited,Gokaldas Exports Limited,5,INDIA,,#N/A,
GOKUL,INE020J01029,Gokul Refoils and Solvent Limited,Gokul Refoils and Solvent Limited,2,INDIA,,#N/A,
GOKULAGRO,INE314T01025,Gokul Agro Resources Limited,Gokul Agro Resources Limited,2,INDIA,,#N/A,
GOLDBEES,INF732E01102,,,,INDIA,,#N/A,
GOLDENTOBC,INE973A01010,,,,INDIA,,#N/A,
GOLDIAM,INE025B01017,Goldiam International Limited,Goldiam International Limited,10,INDIA,,#N/A,
GOLDINFRA,INE260D01016,Goldstone Infratech Limited,Goldstone Infratech Limited,4,INDIA,CONSTRUCTION,#N/A,
GOLDSHARE,INF789F01059,,,,INDIA,,#N/A,
GOLDTECH,INE805A01014,Goldstone Technologies Limited,Goldstone Technologies Limited,10,INDIA,IT,COMPUTERS - SOFTWARE,
GOODLUCK,INE127I01024,Goodluck India Limited,Goodluck India Limited,2,INDIA,,#N/A,
GPIL,INE177H01013,Godawari Power And Ispat limited,Godawari Power And Ispat limited,10,INDIA,,#N/A,
GPPL,INE517F01014,Gujarat Pipavav Port Limited,Gujarat Pipavav Port Limited,10,INDIA,SERVICES,SHIPPING,
GPTINFRA,INE390G01014,GPT Infraprojects Limited,GPT Infraprojects Limited,10,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,
GRANULES,INE101D01020,Granules India Limited,Granules India Limited,1,INDIA,PHARMA,PHARMACEUTICALS,
GRAPHITE,INE371A01025,Graphite India Limited,Graphite India Limited,2,INDIA,INDUSTRIAL MANUFACTURING,#N/A,
GRASIM,INE047A01021,Grasim Industries Limited,Grasim Industries Limited,2,INDIA,CEMENT & CEMENT PRODUCTS,DIVERSIFIED,
GRAVITA,INE024L01027,Gravita India Limited,Gravita India Limited,2,INDIA,,#N/A,
GREAVESCOT,INE224A01026,Greaves Cotton Limited,Greaves Cotton Limited,2,INDIA,INDUSTRIAL MANUFACTURING,ENGINES,
GREENLAM,INE544R01013,Greenlam Industries Limited,Greenlam Industries Limited,5,INDIA,,#N/A,
GREENPLY,INE461C01038,Greenply Industries Limited,Greenply Industries Limited,1,INDIA,CONSUMER GOODS,MISCELLANEOUS,
GREENPOWER,INE999K01014,Orient Green Power Company Limited,Orient Green Power Company Limited,10,INDIA,,#N/A,
GRINDWELL,INE536A01023,Grindwell Norton Limited,Grindwell Norton Limited,5,INDIA,INDUSTRIAL MANUFACTURING,ABRASIVES,INDUSTRIAL MANUFACTURING
GROBTEA,INE646C01018,The Grob Tea Company Limited,The Grob Tea Company Limited,10,INDIA,,#N/A,
GRPLTD,INE137I01015,GRP Limited,GRP Limited,10,INDIA,,#N/A,
GRUH,INE580B01029,Gruh Finance Limited,Gruh Finance Limited,2,INDIA,FINANCIAL SERVICES,FINANCE - HOUSING,
GSCLCEMENT,INE542A01039,Gujarat Sidhee Cement Limited,Gujarat Sidhee Cement Limited,10,INDIA,,#N/A,
GSFC,INE026A01025,Gujarat State Fertilizers & Chemicals Limited,Gujarat State Fertilizers & Chemicals Limited,2,INDIA,FERTILISERS & PESTICIDES,FERTILISERS,
GSKCONS,INE264A01014,GlaxoSmithKline Consumer Healthcare Limited,GlaxoSmithKline Consumer Healthcare Limited,10,INDIA,CONSUMER GOODS,FOOD PROCESSING,
GSPL,INE246F01010,Gujarat State Petronet Limited,Gujarat State Petronet Limited,10,INDIA,ENERGY,OIL DRILLING AND EXPLORATION,
GSS,INE871H01011,GSS Infotech Limited,GSS Infotech Limited,10,INDIA,IT,COMPUTERS - SOFTWARE,
GTL,INE043A01012,GTL Limited,GTL Limited,10,INDIA,,#N/A,
GTLINFRA,INE221H01019,GTL Infrastructure Limited,GTL Infrastructure Limited,10,INDIA,CONSTRUCTION,#N/A,
GTNIND,INE537A01013,GTN Industries Limited,GTN Industries Limited,10,INDIA,,#N/A,
GTNTEX,INE302H01017,GTN Textiles Limited,GTN Textiles Limited,10,INDIA,TEXTILES,TEXTILES - GENERAL,
GTPL,INE869I01013,GTPL Hathway Limited,GTPL Hathway Limited,10,INDIA,,#N/A,
GUFICBIO,INE742B01025,Gufic Biosciences Limited,Gufic Biosciences Limited,1,INDIA,,#N/A,
GUJALKALI,INE186A01019,Gujarat Alkalies and Chemicals Limited,Gujarat Alkalies and Chemicals Limited,10,INDIA,CHEMICALS,CHEMICALS,
GUJAPOLLO,INE826C01016,Gujarat Apollo Industries Limited,Gujarat Apollo Industries Limited,10,INDIA,,#N/A,
