symbol,name,facev,marketcap_cr,vwap,outshares,dividend,exdate,recorddate
BEDMUTHA,Bedmutha Industries Limited,10.00,16.21,20.68,7838491.295938104,ANNUAL GENERAL MEETING (BOOK CLOSURE DATES REVISED),15-SEP-17,-
BEL,Bharat Electronics Limited,1.00,9443.87,119.09,793002771.0135193,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.40 PER SHARE,20-AUG-18,-
BEML,BEML Limited,10.00,1559.34,833.41,18710358.647004474,ANNUAL GENERAL MEETING\/DIVIDEND - RS 8 PER SHARE,13-SEP-17,-
BEPL,Bhansali Engineering Polymers Limited,1.00,1005.64,138.76,72473335.25511675,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.30 PER SHARE (DATE REVISED),19-SEP-18,-
BERGEPAINT,Berger Paints (I) Limited,1.00,8081.44,337.44,239492650.54528213,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.80 PER SHARE,26-JUL-18,-
BFINVEST,BF Investment Limited,5.00,292.83,345.39,8478241.987318683,ANNUAL GENERAL MEETING,30-AUG-18,-
BFUTILITIE,BF Utilities Limited,5.00,514.01,341.23,15063446.941945316,ANNUAL GENERAL MEETING,02-NOV-17,-
BGLOBAL,Bharatiya Global Infomedia Limited,10.00,2.22,2.79,7956989.247311829,ANNUAL GENERAL MEETING,19-SEP-17,-
BGRENERGY,BGR Energy Systems Limited,10.00,150.82,82.20,18347931.873479318,ANNUAL GENERAL MEETING,16-SEP-15,-
BHAGERIA,Bhageria Industries Limited,5.00,209.72,303.03,6920766.920766921,ANNUAL GENERAL MEETING \/ DIVIDEND RS 5.50 PER SHARE,13-JUL-18,-
BHAGYANGR,Bhagyanagar India Limited,2.00,28.88,36.33,7949353.151665291,ANNUAL GENERAL MEETING,17-SEP-18,-
BHAGYAPROP,Bhagyanagar Properties Limited,2.00,19.80,24.15,8198757.7639751565,ANNUAL GENERAL MEETING,17-SEP-18,-
BHANDARI,Bhandari Hosiery Exports Limited,1.00,25.06,2.28,109912280.70175438,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.01 PER SHARE,19-SEP-18,-
BHARATFIN,Bharat Financial Inclusion Limited,10.00,15733.22,1212.75,129731766.64605236,ANNUAL GENERAL MEETING,18-JUL-18,-
BHARATFORG,Bharat Forge Limited,2.00,16285.59,643.32,253149132.62451032,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2.50 PER SHARE,27-JUL-18,-
BHARATGEAR,Bharat Gears Limited,10.00,65.77,170.70,3852958.4065612187,ANNUAL GENERAL MEETING,23-JUL-15,-
BHARATIDIL,Bharati Defence and Infrastructure Limited,10.00,5.99,3.28,18262195.121951222,ANNUAL GENERAL MEETING,21-SEP-16,-
BHARATRAS,Bharat Rasayan Limited,10.00,772.48,7250.61,1065400.0146194596,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.50 PER SHARE,19-SEP-17,-
BHARATWIRE,Bharat Wire Ropes Limited,10.00,252.45,96.08,26274979.184013322,ANNUAL GENERAL MEETING,02-AUG-18,-
BHARTIARTL,Bharti Airtel Limited,5.00,48880.81,367.86,1328788397.7600174,ANNUAL GENERAL MEETING\/DIVIDEND RS 2.50 PER SHARE,02-AUG-18,-
BHEL,Bharat Heavy Electricals Limited,2.00,10188.14,75.69,1346035143.3478663,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.02 PER SHARE,11-SEP-18,-
BHUSANSTL,Bhushan Steel Limited,2.00,159.83,29.33,54493692.46505285,ANNUAL GENERAL MEETING,11-SEP-17,-
BIGBLOC,Bigbloc Construction Limited,10.00,37.48,85.07,4405783.472434466,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.25 PER SHARE,19-SEP-18,-
BIL,Bhartiya International Limited,10.00,172.16,414.20,4156446.1612747465,ANNUAL GENERAL MEETING\/DIVIDEND RS 1.20 PER SHARE,19-SEP-18,-
BILENERGY,Bil Energy Systems Limited,1.00,6.16,0.54,114074074.07407406,BONUS 1:1,11-JAN-18,13-JAN-18
BILPOWER,Bilpower  Limited,10.00,1.22,0.67,18208955.223880596,ANNUAL GENERAL MEETING,15-SEP-17,-
BINANIIND,Binani Industries Limited,10.00,137.25,92.45,14845862.62844781,ANNUAL GENERAL MEETING,08-DEC-17,-
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,10.00,188.60,20.25,93135802.46913579,ANNUAL GENERAL MEETING,20-SEP-17,-
BIOCON,Biocon Limited,5.00,12686.10,608.44,208502070.86976528,DIVIDEND- RE 1 PER SHARE,19-JUL-18,20-JUL-18
