SYMBOL,NAME,FC
CASTEXTECH,Castex Technologies Limited,2
CASTROLIND,Castrol India Limited,5
CCCL,Consolidated Construction Consortium Limited,2
CCHHL,Country Club Hospitality & Holidays Limited,2
CCL,CCL Products (India) Limited,2
CDSL,Central Depository Services (India) Limited,10
CEATLTD,CEAT Limited,10
CEBBCO,Commercial Engineers & Body Builders Co Limited,10
CELEBRITY,Celebrity Fashions Limited,10
CELESTIAL,Celestial Biolabs Limited,10
CENTENKA,Century Enka Limited,10
CENTEXT,Century Extrusions Limited,1
CENTRALBK,Central Bank of India,10
CENTUM,Centum Electronics Limited,10
CENTURYPLY,Century Plyboards (India) Limited,1
CENTURYTEX,Century Textiles & Industries Limited,10
CERA,Cera Sanitaryware Limited,5
CEREBRAINT,Cerebra Integrated Technologies Limited,10
CESC,CESC Limited,10
CGCL,Capri Global Capital Limited,2
CGPOWER,CG Power and Industrial Solutions Limited,2
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,10
CHENNPETRO,Chennai Petroleum Corporation Limited,10
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,10
CHROMATIC,Chromatic India Limited,10
CIGNITITEC,Cigniti Technologies Limited,10
CIMMCO,Cimmco Limited,10
CINELINE,Cineline India Limited,5
CINEVISTA,Cinevista Limited,2
CIPLA,Cipla Limited,2
CLEDUCATE,CL Educate Limited,10
CLNINDIA,Clariant Chemicals (India) Limited,10
CMICABLES,CMI Limited,10
CNOVAPETRO,CIL Nova Petrochemicals Limited,10
COALINDIA,Coal India Limited,10
COCHINSHIP,Cochin Shipyard Limited,10
COFFEEDAY,Coffee Day Enterprises Limited,10
COLPAL,Colgate Palmolive (India) Limited,1
COMPINFO,Compuage Infocom Limited,2
COMPUSOFT,Compucom Software Limited,2
CONCOR,Container Corporation of India Limited,10
CONSOFINVT,Consolidated Finvest & Holdings Limited,10
CONTROLPR,Control Print Limited,10
CORALFINAC,Coral India Finance & Housing Limited,2
CORDSCABLE,Cords Cable Industries Limited,10
COROMANDEL,Coromandel International Limited,1
CORPBANK,Corporation Bank,2
COSMOFILMS,Cosmo Films Limited,10
COUNCODOS,Country Condo's Limited,1
COX&KINGS,Cox & Kings Limited,5
CREATIVEYE,Creative Eye Limited,5
CREST,Crest Ventures Limited,10
CRISIL,CRISIL Limited,1
CROMPTON,Crompton Greaves Consumer Electricals Limited,2
CTE,Cambridge Technology Enterprises Limited,10
CUB,City Union Bank Limited,1
CUBEXTUB,Cubex Tubings Limited,10
CUMMINSIND,Cummins India Limited,2
CUPID,Cupid Limited,10
CURATECH,Cura Technologies Limited,10
CYBERMEDIA,Cyber Media (India) Limited,10
CYBERTECH,Cybertech Systems And Software Limited,10
CYIENT,Cyient Limited,5
DAAWAT,LT Foods Limited,1
DABUR,Dabur India Limited,1
DALMIABHA,Dalmia Bharat Limited,2
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,2
DAMODARIND,Damodar Industries Limited,10
DATAMATICS,Datamatics Global Services Limited,5
DBCORP,D.B.Corp Limited,10
DBL,Dilip Buildcon Limited,10
DBREALTY,D B Realty Limited,10
DCAL,Dishman Carbogen Amcis Limited,2
DCBBANK,DCB Bank Limited,10
DCM,DCM  Limited,10
DCMSHRIRAM,DCM Shriram Limited,2
DCW,DCW Limited,2
DECCANCE,Deccan Cements Limited,5
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,10
DEEPAKNTR,Deepak Nitrite Limited,2
DEEPIND,Deep Industries Limited,10
DELTACORP,Delta Corp Limited,1
DELTAMAGNT,Delta Magnets Limited,10
DEN,Den Networks Limited,10
DENABANK,Dena Bank,10
DENORA,De Nora India Limited,10
DFMFOODS,DFM Foods Limited,10
DHAMPURSUG,Dhampur Sugar Mills Limited,10
DHANBANK,Dhanlaxmi Bank Limited,10
DHANUKA,Dhanuka Agritech Limited,2
DHARSUGAR,Dharani Sugars & Chemicals Limited,10
DHFL,Dewan Housing Finance Corporation Limited,10
DHUNINV,Dhunseri Investments Limited,10
DIAPOWER,Diamond Power Infra Ltd,10
DICIND,DIC India Limited,10
DIGJAMLTD,Digjam Limited,10
DISHTV,Dish TV India Limited,1
DIVISLAB,Divi's Laboratories Limited,2
DIXON,Dixon Technologies (India) Limited,10
DLF,DLF Limited,2
DLINKINDIA,D-Link (India) Limited,2
DMART,Avenue Supermarts Limited,10
DOLLAR,Dollar Industries Limited,2
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,10
DONEAR,Donear Industries Limited,2
DPL,Dhunseri Petrochem Limited,10
DPSCLTD,DPSC Limited,1
DQE,DQ Entertainment (International) Limited,10
DREDGECORP,Dredging Corporation of India Limited,10
DRREDDY,Dr. Reddy's Laboratories Limited,5
DSKULKARNI,DS Kulkarni Developers Limited,10
DSSL,Dynacons Systems & Solutions Limited,10
DTIL,Dhunseri Tea & Industries Limited,10
DUCON,Ducon Infratechnologies Limited,1
DWARKESH,Dwarikesh Sugar Industries Limited,1
DYNAMATECH,Dynamatic Technologies Limited,10
DYNPRO,Dynemic Products Limited,10
EASTSILK,Eastern Silk Industries Limited,2
EASUNREYRL,Easun Reyrolle Limited,2
ECEIND,ECE Industries Limited,10
ECLERX,eClerx Services Limited,10
EDELWEISS,Edelweiss Financial Services Limited,1
EDL,Empee Distilleries Limited,10
EDUCOMP,Educomp Solutions Limited,2
EICHERMOT,Eicher Motors Limited,10
EIDPARRY,EID Parry India Limited,1
EIHAHOTELS,EIH Associated Hotels Limited,10
EIHOTEL,EIH Limited,2
EIMCOELECO,Eimco Elecon (India) Limited,10
EKC,Everest Kanto Cylinder Limited,2
ELAND,E-Land Apparel Limited,10
ELECON,Elecon Engineering Company Limited,2
ELECTCAST,Electrosteel Castings Limited,1
ELECTHERM,Electrotherm (India) Limited,10
ELGIEQUIP,Elgi Equipments Limited,1
ELGIRUBCO,Elgi Rubber Company Limited,1
EMAMIINFRA,Emami Infrastructure Limited,2
EMAMILTD,Emami Limited,1
EMCO,Emco Limited,2
EMKAY,Emkay Global Financial Services Limited,10
EMMBI,Emmbi Industries Limited,10
ENDURANCE,Endurance Technologies Limited,10
ENERGYDEV,Energy Development Company Limited,10
ENGINERSIN,Engineers India Limited,5
ENIL,Entertainment Network (India) Limited,10
EON,Eon Electric Limited,5
EQUITAS,Equitas Holdings Limited,10
EQUITAS,Equitas Holdings Limited,10
ERIS,Eris Lifesciences Limited,1
EROSMEDIA,Eros International Media Limited,10
ESABINDIA,Esab India Limited,10
ESCORTS,Escorts Limited,10
ESL,Electrosteel Steels Limited,10
ESSARSHPNG,Essar Shipping Limited,10
ESSDEE,Ess Dee Aluminium Limited,10
ESSELPACK,Essel Propack Limited,2
ESTER,Ester Industries Limited,5
EUROCERA,Euro Ceramics Limited,10
EUROMULTI,Euro Multivision Limited,10
EUROTEXIND,Eurotex Industries and Exports Limited,10
EVEREADY,Eveready Industries India Limited,5
EVERESTIND,Everest Industries Limited,10
EXCEL,Excel Realty N Infra Limited,10
EXCELCROP,Excel Crop Care Limited,5
EXCELINDUS,Excel Industries Limited,5
EXIDEIND,Exide Industries Limited,1
FACT,Fertilizers and Chemicals Travancore Limited,10
FAIRCHEM,Fairchem Speciality Limited,10
FCL,Fineotex Chemical Limited,2
FCONSUMER,Future Consumer Limited,6
FDC,FDC Limited,1
FEDDERELEC,Fedders Electric and Engineering Limited,10
FEDERALBNK,The Federal Bank  Limited,2
FEL,Future Enterprises Limited,2
FELDVR,Future Enterprises Limited,2
FIEMIND,Fiem Industries Limited,10
FILATEX,Filatex India Limited,10
FINCABLES,Finolex Cables Limited,2
FINPIPE,Finolex Industries Limited,10
FLEXITUFF,Flexituff International Limited,10
FLFL,Future Lifestyle Fashions Limited,2
FMGOETZE,Federal-Mogul Goetze (India) Limited.,10
FMNL,Future Market Networks Limited,10
FORTIS,Fortis Healthcare Limited,10
FORTUNEFIN,Fortune Financial Services (India) Limited,10
FOSECOIND,Foseco India Limited,10
FRETAIL,Future Retail Limited,2
FSL,Firstsource Solutions Limited,10
GABRIEL,Gabriel India Limited,1
GAEL,Gujarat Ambuja Exports Limited,2
GAIL,GAIL (India) Limited,10
GAL,Gyscoal Alloys Limited,1
GAMMNINFRA,Gammon Infrastructure Projects Limited,2
GAMMONIND,Gammon India Limited,2
GANDHITUBE,Gandhi Special Tubes Limited,5
GANECOS,Ganesha Ecosphere Limited,10
GANESHHOUC,Ganesh Housing Corporation Limited,10
GANGESSECU,Ganges Securities Limited,10
GANGOTRI,Gangotri Textiles Limited,5
GARDENSILK,Garden Silk Mills Limited,10
GARWALLROP,Garware  Wall Ropes Limited,10
GATI,GATI Limited,2
GAYAPROJ,Gayatri Projects Limited,2
GDL,Gateway Distriparks Limited,10
GEECEE,GeeCee Ventures Limited,10
GEMINI,Gemini Communication Limited,1
GENESYS,Genesys International Corporation Limited,5
GENUSPAPER,Genus Paper & Boards Limited,1
GENUSPOWER,Genus Power Infrastructures Limited,1
GEOJITFSL,Geojit Financial Services Limited,1
GEPIL,GE Power India Limited,10
GESHIP,The Great Eastern Shipping Company Limited,10
GET&D,GE T&D India Limited,2
GHCL,GHCL Limited,10
GICHSGFIN,GIC Housing Finance Limited,10
GILLANDERS,Gillanders Arbuthnot & Company Limited,10
GILLETTE,Gillette India Limited,10
GINNIFILA,Ginni Filaments Limited,10
GIPCL,Gujarat Industries Power Company Limited,10
GISOLUTION,GI Engineering Solutions Limited,10
GITANJALI,Gitanjali Gems Limited,10
GKWLIMITED,GKW Limited,10
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,10
GLENMARK,Glenmark Pharmaceuticals Limited,1
GLFL,Gujarat Lease Financing Limited,10
GLOBALVECT,Global Vectra Helicorp Limited,10
GLOBOFFS,Global Offshore Services Limited,10
GLOBUSSPR,Globus Spirits Limited,10
GMBREW,GM Breweries Limited,10
GMDCLTD,Gujarat Mineral Development Corporation Limited,2
GMRINFRA,GMR Infrastructure Limited,1
GNA,GNA Axles Limited,10
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,10
GOACARBON,Goa Carbon Limited,10
GOCLCORP,GOCL Corporation Limited,2
GODFRYPHLP,Godfrey Phillips India Limited,2
GODREJCP,Godrej Consumer Products Limited,1
GODREJIND,Godrej Industries Limited,1
GODREJPROP,Godrej Properties Limited,5
GOENKA,Goenka Diamond and Jewels Limited,1
GOKEX,Gokaldas Exports Limited,5
GOKUL,Gokul Refoils and Solvent Limited,2
GOKULAGRO,Gokul Agro Resources Limited,2
GOLDIAM,Goldiam International Limited,10
GOLDINFRA,Goldstone Infratech Limited,4
GOLDTECH,Goldstone Technologies Limited,10
GOODLUCK,Goodluck India Limited,2
GPIL,Godawari Power And Ispat limited,10
GPPL,Gujarat Pipavav Port Limited,10
GPTINFRA,GPT Infraprojects Limited,10
GRANULES,Granules India Limited,1
GRAPHITE,Graphite India Limited,2
GRASIM,Grasim Industries Limited,2
GRAVITA,Gravita India Limited,2
GREAVESCOT,Greaves Cotton Limited,2
GREENLAM,Greenlam Industries Limited,5
GREENPLY,Greenply Industries Limited,1
GREENPOWER,Orient Green Power Company Limited,10
GRINDWELL,Grindwell Norton Limited,5
GROBTEA,The Grob Tea Company Limited,10
GRPLTD,GRP Limited,10
GRUH,Gruh Finance Limited,2
GSCLCEMENT,Gujarat Sidhee Cement Limited,10
GSFC,Gujarat State Fertilizers & Chemicals Limited,2
GSFC,Gujarat State Fertilizers & Chemicals Limited,2
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,10
GSPL,Gujarat State Petronet Limited,10
GSS,GSS Infotech Limited,10
GTL,GTL Limited,10
GTLINFRA,GTL Infrastructure Limited,10
GTNIND,GTN Industries Limited,10
GTNTEX,GTN Textiles Limited,10
GTPL,GTPL Hathway Limited,10
GUFICBIO,Gufic Biosciences Limited,1
GUJALKALI,Gujarat Alkalies and Chemicals Limited,10
GUJAPOLLO,Gujarat Apollo Industries Limited,10
GUJFLUORO,Gujarat Fluorochemicals Limited,1
GUJGASLTD,Gujarat Gas Limited,10
GUJNRECOKE,Gujarat NRE Coke Limited,10
GUJNREDVR,Gujarat NRE Coke Limited,10
GULFOILLUB,Gulf Oil Lubricants India Limited,2
GULFPETRO,GP Petroleums Limited,5
GULPOLY,Gulshan Polyols Limited,1
GVKPIL,GVK Power & Infrastructure Limited,1
HANUNG,Hanung Toys and Textiles Limited,10
HARITASEAT,Harita Seating Systems Limited,10
HARRMALAYA,Harrisons  Malayalam Limited,10
HATHWAY,Hathway Cable & Datacom Limited,2
HATSUN,Hatsun Agro Product Limited,1
HAVELLS,Havells India Limited,1
HBLPOWER,HBL Power Systems Limited,1
HBSTOCK,HB Stockholdings Limited,10
HCC,Hindustan Construction Company Limited,1
HCG,Healthcare Global Enterprises Limited,10
HCL-INSYS,HCL Infosystems Limited,2
HCLTECH,HCL Technologies Limited,2
HDFC,Housing Development Finance Corporation Limited,2
HDFCBANK,HDFC Bank Limited,2
HDFCBANK,HDFC Bank Limited,2
HDIL,Housing Development and Infrastructure Limited,10
HEG,HEG Limited,10
HEIDELBERG,HeidelbergCement India Limited,10
HERCULES,Hercules Hoists Limited,1
HERITGFOOD,Heritage Foods Limited,10
HEROMOTOCO,Hero MotoCorp Limited,2
HESTERBIO,Hester Biosciences Limited,10
HEXATRADEX,Hexa Tradex Limited,2
HEXAWARE,Hexaware Technologies Limited,2
HFCL,Himachal Futuristic Communications Limited,1
HGS,Hinduja Global Solutions Limited,10
HIGHGROUND,High Ground Enterprise Limited,1
HIKAL,Hikal Limited,2
HIL,HIL Limited,10
HILTON,Hilton Metal Forging Limited,10
HIMATSEIDE,Himatsingka Seide Limited,5
HINDALCO,Hindalco Industries Limited,1
HINDCOMPOS,Hindustan Composites Limited,5
HINDCOPPER,Hindustan Copper Limited,5
HINDMOTORS,Hindustan Motors Limited,5
HINDNATGLS,Hindusthan National Glass & Industries Limited,2
HINDOILEXP,Hindustan Oil Exploration Company Limited,10
HINDPETRO,Hindustan Petroleum Corporation Limited,10
HINDSYNTEX,Hind Syntex Limited,10
HINDUJAVEN,Hinduja Ventures Limited,10
HINDUNILVR,Hindustan Unilever Limited,1
HINDZINC,Hindustan Zinc Limited,2
HIRECT,Hind Rectifiers Limited,2
HISARMETAL,Hisar Metal Industries Limited,10
HITECHCORP,Hitech Corporation Limited,10
HITECHGEAR,The Hi-Tech Gears Limited,10
HMT,HMT Limited,10
HMVL,Hindustan Media Ventures Limited,10
HONAUT,Honeywell Automation India Limited,10
HONDAPOWER,Honda Siel Power Products Limited,10
HOTELEELA,Hotel Leela Venture Limited,2
HOTELRUGBY,Hotel Rugby Limited,10
HOVS,HOV Services Limited,10
HPL,HPL Electric & Power Limited,10
HSCL,Himadri Speciality Chemical Limited,1
HSIL,HSIL Limited,2
HTMEDIA,HT Media Limited,2
HUBTOWN,Hubtown Limited,10
HUDCO,Housing & Urban Development Corporation Limited,10
IBREALEST,Indiabulls Real Estate Limited,2
IBULHSGFIN,Indiabulls Housing Finance Limited,2
IBVENTURES,Indiabulls Ventures Limited,2
ICICIBANK,ICICI Bank Limited,2
ICICIGI,ICICI Lombard General Insurance Company Limited,10
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,10
ICIL,Indo Count Industries Limited,2
ICRA,ICRA Limited,10
ICSA,ICSA (India) Limited,2
IDBI,IDBI Bank Limited,10
IDEA,Idea Cellular Limited,10
IDFC,IDFC Limited,10
IDFCBANK,IDFC Bank Limited,10
IFBAGRO,IFB Agro Industries Limited,10
IFBIND,IFB Industries Limited,10
IFCI,IFCI Limited,10
IGARASHI,Igarashi Motors India Limited,10
IGL,Indraprastha Gas Limited,10
IGPL,IG Petrochemicals Limited,10
IIFL,IIFL Holdings Limited,2
IITL,Industrial Investment Trust Limited,10
IL&FSENGG,IL&FS Engineering and Construction Company Limited,10
IL&FSTRANS,IL&FS Transportation Networks Limited,10
IMFA,Indian Metals & Ferro Alloys Limited,10
IMPAL,India Motor Parts and Accessories Limited,10
INDBANK,Indbank Merchant Banking Services Limited,10
INDHOTEL,The Indian Hotels Company Limited,1
INDIACEM,The India Cements Limited,10
INDIAGLYCO,India Glycols Limited,10
INDIANB,Indian Bank,10
INDIANCARD,Indian Card Clothing Company Limited,10
INDIANHUME,Indian Hume Pipe Company Limited,2
INDIGO,InterGlobe Aviation Limited,10
