"symbol","close"
"LT","1284.7"
"HAVELLS","687.3"
"SANGAMIND","91.9"
"LICHSGFIN","558.15"
"GREAVESCOT","155.05"
"RADAAN","1.65"
"NATIONALUM","72.25"
"CRISIL","1770.8"
"SURYALAXMI","56.05"
"BGRENERGY","89.25"
"CESC","915.9"
"BAJAJFINSV","7075.1"
"CANBK","295.95"
"AKSHOPTFBR","32.35"
"SWARAJENG","1806.5"
"MADHUCON","12.25"
"MADRASFERT","27.8"
"ROHLTD","155.2"
"RAYMOND","790.25"
"OISL","3.1"
"BPL","54.6"
"BANKBEES","2885.93"
"JAYNECOIND","6.15"
"ALMONDZ","36.5"
"ALPA","27.25"
"SIMPLEXINF","434.1"
"JAGRAN","116.0"
"ZODJRDMKJ","44.95"
"THERMAX","1104.55"
"RADICO","441.6"
"GOLDBEES","2633.15"
"DIVISLAB","1114.95"
"PREMIER","19.15"
"PLASTIBLEN","257.15"
"BALAMINES","570.0"
"CARBORUNIV","351.65"
"PSUBNKBEES","375.72"
"TIL","332.05"
"CCL","258.05"
"CONSOFINVT","57.5"
"INGERRAND","543.95"
"VARDMNPOLY","14.1"
"EVERESTIND","549.5"
"MRF","75995.1"
"MPHASIS","1150.7"
"BLUESTARCO","699.2"
"CIPLA","619.15"
"GIPCL","94.9"
"HBLPOWER","36.5"
"TOKYOPLAST","69.35"
"CEATLTD","1396.25"
"HINDPETRO","280.45"
"VOLTAMP","965.25"
"BURNPUR","6.55"
"RMCL","36.9"
"CLNINDIA","430.0"
"IOC","165.4"
"ARCHIES","32.1"
"ANSALHSG","15.5"
"SASKEN","919.6"
"EIHAHOTELS","424.0"
"PHILIPCARB","279.25"
"PATINTLOG","57.25"
"NITINFIRE","2.7"
"KAVVERITEL","9.55"
"STCINDIA","142.95"
"RAJSREESUG","26.75"
"VESUVIUS","1249.4"
"BIRLACORPN","776.3"
"OILCOUNTUB","19.8"
"REPRO","633.4"
"MIRCELECTR","32.4"
"SANDESH","985.25"
"PFIZER","2737.65"
"MURUDCERA","37.45"
"LAXMIMACH","7308.3"
"EXIDEIND","283.2"
"INDSWFTLAB","90.2"
"BANKINDIA","98.0"
"BHARATFORG","631.45"
"JBCHEPHARM","278.55"
"JKTYRE","132.7"
"GOLDIAM","68.05"
"PANACEABIO","237.4"
"SAMBHAAV","6.8"
"NBVENTURES","125.05"
"ASIANPAINT","1417.35"
"ENIL","734.1"
"AROGRANITE","58.65"
"NILKAMAL","1814.55"
"KESARENT","34.45"
"JUBILANT","723.45"
"ESSDEE","32.95"
"HOTELEELA","16.0"
"PTL","48.65"
"SCI","59.25"
"UTTAMSTL","12.05"
"JKCEMENT","784.1"
"CENTURYPLY","242.35"
"PTC","84.75"
"KAKATCEM","235.75"
"TIDEWATER","5913.85"
"AUTOIND","69.2"
"HONDAPOWER","1261.4"
"BINDALAGRO","20.85"
"HIRECT","124.75"
"KSCL","622.7"
"KMSUGAR","8.95"
"TAJGVK","217.05"
"SHREECEM","17227.95"
"FIEMIND","769.35"
"DEEPAKFERT","271.55"
"EASTSILK","2.95"
"TATASTEEL","585.95"
"GSPL","200.3"
"RSSOFTWARE","42.45"
"UBL","1199.65"
"CELESTIAL","14.15"
"NMDC","106.7"
"ADANIENT","200.35"
"AMDIND","24.0"
"GLENMARK","594.95"
"KAJARIACER","438.7"
"IVC","14.5"
"CENTENKA","284.0"
"NRBBEARING","182.2"
"PURVA","104.85"
"HINDZINC","286.7"
"ICICIBANK","333.0"
"IVP","178.9"
"KCP","103.0"
"SHREYAS","467.5"
"MCDHOLDING","28.05"
"CYBERMEDIA","8.0"
"RKFORGE","664.1"
"ACC","1570.75"
"NAGREEKCAP","20.1"
"APTECHT","241.0"
"AARTIIND","1437.55"
"ELECTCAST","22.3"
"MOTOGENFIN","41.15"
"BAJAJHIND","6.9"
"STINDIA","13.5"
"MUKANDLTD","67.95"
"SALORAINTL","30.05"
"DAAWAT","63.75"
"DRREDDY","2237.7"
"MASTEK","539.2"
"TFCILTD","144.55"
"BALPHARMA","76.75"
"RELINFRA","419.0"
"CCCL","2.85"
"NITINSPIN","87.25"
"INDNIPPON","493.35"
"PUNJLLOYD","14.1"
"BHARATRAS","8051.5"
"KAMATHOTEL","79.15"
"GOKUL","12.8"
"KOTARISUG","9.9"
"GPIL","449.85"
"MOTHERSUMI","304.1"
"MERCK","2980.15"
"CUB","178.7"
"GARWALLROP","1190.8"
"TIMETECHNO","157.0"
"BATAINDIA","954.35"
"HDFCBANK","2118.5"
"RICOAUTO","82.35"
"BALMLAWRIE","221.15"
"NAVINFLUOR","692.65"
"SMSPHARMA","72.8"
"THOMASCOOK","264.4"
"GSFC","117.1"
"GDL","182.05"
"SAKHTISUG","13.7"
"ATFL","633.4"
"INDIACEM","119.7"
"SAGCEM","792.05"
"EIHOTEL","170.3"
"MOTILALOFS","912.9"
"TWL","90.7"
"STRTECH","365.35"
"EUROTEXIND","23.0"
"JINDALPOLY","277.55"
"APCOTEXIND","564.15"
"TIMKEN","716.85"
"DELTACORP","273.4"
"TATACOMM","590.5"
"CORPBANK","28.4"
"CHAMBLFERT","139.9"
"HERCULES","121.9"
"TITAN","915.3"
"LAKPRE","15.9"
"VINYLINDIA","102.4"
"SGL","10.1"
"THIRUSUGAR","23.7"
"XPROINDIA","50.95"
"BAJAJ-AUTO","2658.6"
"SADBHAV","278.9"
"GREENPLY","204.25"
"GSKCONS","6662.2"
"ESABINDIA","741.85"
"BHEL","74.5"
"SPLIL","23.95"
"GATI","106.75"
"CANDC","29.6"
"INDIANB","358.25"
"BLUECOAST","81.5"
"PFC","87.0"
"SATHAISPAT","14.15"
"BAJAJELEC","627.45"
"LYKALABS","38.65"
"ZICOM","12.3"
"JINDALPHOT","38.6"
"GENESYS","217.45"
"BAGFILMS","5.15"
"TVSMOTOR","538.45"
"TAKE","210.5"
"AJANTPHARM","1155.3"
"USHAMART","27.3"
"ENGINERSIN","127.25"
"RPOWER","34.4"
"NSIL","1175.15"
"VGUARD","216.1"
"NIFTY 50","11470.7"
"NIFTY NEXT 50","30093.55"
"NIFTY100 LIQ 15","4467.55"
"NIFTY 100","11756.15"
"NIFTY 200","6101.8"
"NIFTY 500","9769.1"
"NIFTY MIDCAP 50","5065.75"
"NIFTY MIDCAP 100","19236.7"
"NIFTY AUTO","10813.8"
"NIFTY BANK","28320.0"
"NIFTY ENERGY","15491.4"
"NIFTY FIN SERVICE","11838.1"
"NIFTY FMCG","31378.55"
"NIFTY IT","14603.35"
"NIFTY MEDIA","2922.65"
"NIFTY METAL","3501.75"
"NIFTY PHARMA","9249.95"
"NIFTY PSU BANK","3379.2"
"NIFTY REALTY","272.55"
"NIFTY COMMODITIES","3715.15"
"NIFTY CONSUMPTION","5247.5"
"NIFTY CPSE","2372.7"
"NIFTY INFRA","3155.35"
"NIFTY MNC","14702.65"
"NIFTY PSE","3692.75"
"NIFTY SERV SECTOR","15542.0"
"NIFTY SHARIAH 25","4323.09"
"NIFTY50 SHARIAH","2503.04"
"NIFTY500 SHARIAH","3093.27"
"NIFTY100 EQUAL WEIGHT",""
"NIFTY50 USD","5788.66"
"NIFTY50 DIV POINT","73.49"
"NIFTY DIV OPPS 50","2727.65"
"NIFTY ALPHA 50","14478.5"
"NIFTY HIGH BETA 50","2004.38"
"NIFTY LOW VOLATILITY 50","10211.25"
"NIFTY50 VALUE 20","5368.8"
"NIFTY GROWSECT 15","7042.35"
"NIFTY50 TR 2X LEV","6590.6"
"NIFTY50 TR 1X INV","344.45"
