,open,high,low,close,volume,Supertrend,Macd,Macd_h,Macd_s,BB_l,BB_m,BB_u,sRSI_k,sRSI_d,action,BP,SP,PNL
2023-07-20 13:10:00+05:30,45989.15,46025.0,45988.65,46023.05,3600.0,45928.442559172654,25.588675046506978,1.0733726993841017,24.515302347122876,45898.54734580486,45969.46750000001,46040.38765419517,58.95278532097245,56.50194212830504,BUY,,,
2023-07-20 13:15:00+05:30,46023.05,46118.2,46020.9,46105.0,17070.0,45954.8894312289,32.889112556222244,6.699048167279493,26.19006438894275,45889.11422210145,45978.46750000001,46067.820777898574,79.3545909942768,61.74343641174895,BUY,,,
2023-07-20 13:20:00+05:30,46102.0,46117.95,46075.9,46090.25,6660.0,45980.62308391048,37.05738567572553,8.69385702942622,28.363528646299308,45891.45597489877,45987.48000000001,46083.504025101254,90.8263881166222,76.3779214772905,BUY,,,
2023-07-20 13:25:00+05:30,46090.25,46123.9,46080.0,46106.6,10395.0,45983.44835763755,41.20509383857279,10.273252153818788,30.931841684754005,45896.53526814445,45997.65000000001,46098.76473185557,84.8217940275792,85.00092437949274,BUY,,,
2023-07-20 13:30:00+05:30,46100.0,46145.0,46094.6,46119.7,8445.0,45996.627163689336,45.030163267147145,11.27865726591451,33.751506001232634,45899.0939183548,46007.43250000001,46115.771081645216,81.21595670189947,85.62137961536696,BUY,,,
2023-07-20 13:35:00+05:30,46120.05,46124.95,46044.0,46049.85,12345.0,45996.627163689336,41.94176850871008,6.552210005981962,35.38955850272812,45909.6169040889,46013.40000000001,46117.18309591112,57.056235251943924,74.36466199380754,BUY,,,
2023-07-20 13:40:00+05:30,46066.0,46094.0,46049.85,46090.3,3780.0,45996.627163689336,42.270897760550724,5.505071406258082,36.76582635429264,45920.63532412933,46021.57250000001,46122.509675870686,38.321147271281006,58.86444640837482,BUY,,,
2023-07-20 13:45:00+05:30,46093.1,46113.6,46084.6,46099.7,4965.0,45996.627163689336,42.79690047625627,4.824859297570903,37.972041178685366,45923.30792174066,46027.645000000004,46131.982078259345,18.99168427343456,38.12302226555318,BUY,,,
2023-07-20 13:50:00+05:30,46103.8,46135.1,46076.5,46135.1,5400.0,45996.627163689336,45.54522852444643,6.058549876608851,39.48667864783758,45925.03114922564,46035.855,46146.67885077437,35.65311736982923,30.988649638181613,BUY,,,
2023-07-20 13:55:00+05:30,46135.1,46175.0,46126.55,46171.7,13320.0,46011.72343070437,50.09910117161053,8.48993801901836,41.60916315259217,45926.549493284016,46046.44,46166.33050671599,49.1852509081722,34.610017517145344,BUY,,,
2023-07-20 14:00:00+05:30,46174.0,46263.95,46166.1,46259.45,13455.0,46053.90222631802,60.09602018380974,14.789485624974063,45.30653455883568,45913.414883917256,46060.597499999996,46207.78011608274,70.56966188837056,51.80267672212401,BUY,,,
2023-07-20 14:05:00+05:30,46259.45,46290.0,46226.75,46233.95,16500.0,46093.16262255831,65.20932117418124,15.922229292276448,49.28709188190479,45911.29879911114,46072.795,46234.29120088886,77.42757646253432,65.72749641969237,BUY,,,
2023-07-20 14:10:00+05:30,46233.95,46258.95,46223.4,46250.0,9060.0,46093.16262255831,69.75268438687635,16.372474003977246,53.38021038289911,45912.989178397314,46086.189999999995,46259.390821602676,80.59096431626197,76.19606755572231,BUY,,,
2023-07-20 14:15:00+05:30,46255.0,46270.0,46237.75,46250.1,8820.0,46105.613865553045,72.52537426136405,15.316131102771955,57.209243158592095,45916.006131491056,46098.594999999994,46281.18386850893,74.109053017726,77.37586459884079,BUY,,,
2023-07-20 14:20:00+05:30,46250.1,46300.55,46247.0,46288.0,15015.0,46123.7440276169,76.89457146488712,15.748262645036021,61.1463088198511,45917.99857084825,46112.7725,46307.54642915175,80.0362729966456,78.24543011021122,BUY,,,
2023-07-20 14:25:00+05:30,46288.0,46324.45,46275.15,46311.8,10770.0,46150.07345224306,81.34001575294678,16.154965546476546,65.18505020647024,45921.46575469811,46128.034999999996,46334.60424530188,88.08043367428088,80.74191989621751,BUY,,,
2023-07-20 14:30:00+05:30,46311.7,46335.0,46302.5,46302.5,7830.0,46176.484387636905,83.15408161107916,14.375225123687144,68.77885648739202,45931.77899179605,46143.085,46354.39100820395,92.55698946738698,86.8912320461045,BUY,,,
2023-07-20 14:35:00+05:30,46302.5,46310.0,46258.85,46279.5,10050.0,46176.484387636905,81.79297558413236,10.41129527739227,71.3816803067401,45949.28329920702,46157.252499999995,46365.22170079297,84.29817351712246,88.31186555293012,BUY,,,
2023-07-20 14:40:00+05:30,46274.05,46282.7,46200.0,46200.0,8670.0,46176.484387636905,73.45258794952679,1.6567261142293574,71.79586183529743,45974.046325224575,46167.784999999996,46361.52367477542,50.964840183789136,75.94000105609955,BUY,,,
2023-07-20 14:45:00+05:30,46200.0,46230.0,46161.05,46161.15,6990.0,46361.150137814664,62.9818843845278,-7.051181960615708,70.03306634514351,46000.6990697054,46176.384999999995,46352.07093029459,21.187751699213482,52.15025513337505,SELL,,46161.15,2522.250000000022
2023-07-20 14:50:00+05:30,46160.0,46225.9,46151.3,46188.95,8310.0,46361.150137814664,56.27826325087517,-11.003842475414672,67.28210572628984,46023.68444290118,46184.67999999999,46345.6755570988,4.0428964234525635,25.398496102151743,SELL,,,
2023-07-20 14:55:00+05:30,46188.95,46238.55,46176.25,46227.85,8565.0,46361.150137814664,53.48792460484401,-11.035344897156662,64.52326950200067,46033.11518413016,46190.822499999995,46348.52981586983,13.226655812899168,12.819101311855087,SELL,,,
