Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
20-Apr-23,RATNAMANI,2149.5,2130.8,0.0087,0.02,0.02,0.3821
20-Apr-23,RAYMOND,1484.2,1444.85,0.0269,0.0333,0.0333,0.6362
20-Apr-23,RBA,94.1,94.05,0.0005,0.0225,0.0224,0.428
20-Apr-23,RBL,688.45,669.65,0.0277,0.0214,0.0214,0.4088
20-Apr-23,RBLBANK,149.6,149.45,0.001,0.0322,0.0322,0.6152
20-Apr-23,RCF,102.7,103.25,-0.0053,0.0294,0.0293,0.5598
20-Apr-23,RECLTD,122.7,122.85,-0.0012,0.0174,0.0174,0.3324
20-Apr-23,REDINGTON,168.05,168.65,-0.0036,0.0252,0.0252,0.4814
20-Apr-23,REFEX,292.85,297,-0.0141,0.0365,0.0364,0.6954
20-Apr-23,REGALENTER,10,10,0,0,0,0
20-Apr-23,REGENCERAM,28.65,30.45,-0.0609,0.0614,0.0614,1.173
20-Apr-23,RELAXO,825.4,811.8,0.0166,0.0149,0.0149,0.2847
20-Apr-23,RELCAPITAL,9,9,0,0.0325,0.0324,0.619
20-Apr-23,RELCHEMQ,178.65,179.85,-0.0067,0.0245,0.0244,0.4662
20-Apr-23,RELIANCE,2346.05,2352,-0.0025,0.0158,0.0157,0.2999
20-Apr-23,RELIGARE,153,152.6,0.0026,0.0299,0.0299,0.5712
20-Apr-23,RELINFRA,159.55,159.2,0.0022,0.0368,0.0367,0.7012
20-Apr-23,REMSONSIND,222.6,223.8,-0.0054,0.0319,0.0318,0.6075
20-Apr-23,RENUKA,47.55,47.5,0.0011,0.0355,0.0354,0.6763
20-Apr-23,REPCOHOME,187.1,187.9,-0.0043,0.0308,0.0307,0.5865
20-Apr-23,REPL,176.75,162.9,0.0816,0.026,0.0265,0.5063
20-Apr-23,REPRO,394.95,405.25,-0.0257,0.0251,0.0251,0.4795
20-Apr-23,RESPONIND,139.55,135.95,0.0261,0.0328,0.0328,0.6266
20-Apr-23,REVATHI,1275.05,1276.75,-0.0013,0.0309,0.0308,0.5884
20-Apr-23,RFHL,10.3,10.3,0,0,0,0
20-Apr-23,RGL,88.75,92.1,-0.0371,0.0297,0.0297,0.5674
20-Apr-23,RHFL,3.3,3.15,0.0465,0.0381,0.0381,0.7279
20-Apr-23,RHIM,644.35,641.45,0.0045,0.0282,0.0281,0.5368
20-Apr-23,RICOAUTO,71.8,72.2,-0.0056,0.0324,0.0323,0.6171
20-Apr-23,RIIL,840.15,836.1,0.0048,0.0315,0.0314,0.5999
20-Apr-23,RISHABHENT,10,10,0,0,0,0
