Date,Index,Open,High,Low,Close,Volume,Turnover
2017-07-06,Nifty Metal,3083.15,3107.0,3078.15,3094.25,57761797.0,12493100000.0
2017-07-07,Nifty Metal,3081.45,3109.25,3078.3,3087.75,57858100.0,11039100000.0
2017-07-10,Nifty Metal,3104.15,3139.65,3046.8,3129.9,13542521.0,2766200000.0
2017-07-11,Nifty Metal,3140.75,3149.05,3110.85,3114.85,66123594.0,13805600000.0
2017-07-12,Nifty Metal,3130.15,3135.9,3108.5,3126.55,48206626.0,10331700000.0
2017-07-13,Nifty Metal,3144.75,3157.55,3107.7,3153.25,56921187.0,11109900000.0
2017-07-14,Nifty Metal,3161.45,3163.95,3127.2,3140.05,56100931.0,11777500000.0
2017-07-17,Nifty Metal,3155.2,3175.15,3144.3,3170.15,50621257.0,10612200000.0
2017-07-18,Nifty Metal,3165.4,3188.65,3152.3,3164.75,45960168.0,9814800000.0
2017-07-19,Nifty Metal,3169.9,3232.4,3168.5,3226.2,53485477.0,10896500000.0
2017-07-20,Nifty Metal,3217.85,3220.35,3187.6,3196.4,47141839.0,10630400000.0
2017-07-21,Nifty Metal,3200.95,3212.6,3147.5,3203.15,57370249.0,12128599999.999998
2017-07-24,Nifty Metal,3204.25,3211.95,3178.8,3187.5,44225402.0,8463900000.0
2017-07-25,Nifty Metal,3194.5,3234.15,3187.95,3227.55,49167946.0,10330700000.0
2017-07-26,Nifty Metal,3251.85,3288.1,3248.2,3283.25,81062699.0,18234400000.0
2017-07-27,Nifty Metal,3291.8,3298.15,3243.5,3250.35,66784776.0,14412600000.0
2017-07-28,Nifty Metal,3230.55,3236.15,3184.8,3207.15,35828141.0,7740300000.0
2017-07-31,Nifty Metal,3217.75,3267.3,3216.85,3259.95,56610938.0,12217100000.0
2017-08-01,Nifty Metal,3274.75,3297.1,3273.2,3290.75,47979000.0,11818599999.999998
2017-08-02,Nifty Metal,3291.8,3293.15,3253.9,3284.1,49456170.0,10651600000.0
